"name"	"parent_dir"	"type"	"size"
"Лекция 1. Погружение в Python. Основы Python.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	3652468
"Лекция 1. Погружение в Python. Основы Python.docx.pdf"	"Погружение в Python. Часть 1"	"file"	792770
"Конспект_Погружение в Python. Часть 1_СемашкоМА.docx"	"Погружение в Python. Часть 1"	"file"	33632
".idea"	"Погружение в Python. Часть 1"	"dir"	5427
"Погружение в Python. Часть 1.iml"	"Погружение в Python. Часть 1"	"file"	291
"modules.xml"	"Погружение в Python. Часть 1"	"file"	347
"misc.xml"	"Погружение в Python. Часть 1"	"file"	189
"inspectionProfiles"	"Погружение в Python. Часть 1"	"dir"	174
"profiles_settings.xml"	".idea"	"file"	174
".gitignore"	"Погружение в Python. Часть 1"	"file"	50
"workspace.xml"	"Погружение в Python. Часть 1"	"file"	3684
"vcs.xml"	"Погружение в Python. Часть 1"	"file"	692
"seminar 1.py"	"Погружение в Python. Часть 1"	"file"	829
"1_hometask_Py I_27.05.2024"	"Погружение в Python. Часть 1"	"dir"	36627
"task_1.py"	"Погружение в Python. Часть 1"	"file"	1393
"task_2.py"	"Погружение в Python. Часть 1"	"file"	1620
"task_3.py"	"Погружение в Python. Часть 1"	"file"	1150
".git"	"Погружение в Python. Часть 1"	"dir"	32464
"description"	"1_hometask_Py I_27.05.2024"	"file"	73
"hooks"	"1_hometask_Py I_27.05.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"1_hometask_Py I_27.05.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"1_hometask_Py I_27.05.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"1_hometask_Py I_27.05.2024"	"file"	21
"config"	"1_hometask_Py I_27.05.2024"	"file"	322
"objects"	"1_hometask_Py I_27.05.2024"	"dir"	4008
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"a4"	".git"	"dir"	534
"7446e908fc98c29febac24699802c9be4c4aee"	"objects"	"file"	534
"99"	".git"	"dir"	531
"6903627c6328cf91a4874531236ee373a8bbc2"	"objects"	"file"	531
"7b"	".git"	"dir"	536
"6895ded32f2eeeab0a721469891dd8e3f5cfea"	"objects"	"file"	536
"d3"	".git"	"dir"	108
"c21cc801ad95501923b7c1b12a88d692557db6"	"objects"	"file"	108
"9f"	".git"	"dir"	134
"a224b591d539179b533f70328f54f72971aa6a"	"objects"	"file"	134
"e6"	".git"	"dir"	539
"6d98f5412aa4fc77d2796a7ed9bcab28344ae7"	"objects"	"file"	539
"5a"	".git"	"dir"	754
"8d2949b12d189da06c63f9897fdbc00c3a7d5c"	"objects"	"file"	754
"6d"	".git"	"dir"	592
"b65fc5502a556dca6de651f2bf8d63903cafcb"	"objects"	"file"	592
"d5"	".git"	"dir"	107
"a178fdffdcd41878fe6382e0e6bcdfe231a02e"	"objects"	"file"	107
"94"	".git"	"dir"	173
"76e43d975992ffa8b851b3bec39230d9f2f55c"	"objects"	"file"	173
"index"	"1_hometask_Py I_27.05.2024"	"file"	281
"COMMIT_EDITMSG"	"1_hometask_Py I_27.05.2024"	"file"	22
"logs"	"1_hometask_Py I_27.05.2024"	"dir"	1594
"HEAD"	".git"	"file"	737
"refs"	".git"	"dir"	857
"heads"	"logs"	"dir"	541
"main"	"refs"	"file"	541
"remotes"	"logs"	"dir"	316
"origin"	"refs"	"dir"	316
"main"	"remotes"	"file"	316
"Лекция 2. Погружение в Python. Простые типы данных.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	3622779
"Лекция 2. Погружение в Python. Простые типы данных.docx.pdf"	"Погружение в Python. Часть 1"	"file"	526173
"seminar 2_1.py"	"Погружение в Python. Часть 1"	"file"	633
"seminar 2_2.py"	"Погружение в Python. Часть 1"	"file"	781
"seminar 2_3.py"	"Погружение в Python. Часть 1"	"file"	954
"seminar 2_4.py"	"Погружение в Python. Часть 1"	"file"	3144
"2_hometask_Py I_30.05.2024"	"Погружение в Python. Часть 1"	"dir"	33130
"task_1.py"	"Погружение в Python. Часть 1"	"file"	1158
"task_2.py"	"Погружение в Python. Часть 1"	"file"	2544
".git"	"Погружение в Python. Часть 1"	"dir"	29428
"description"	"2_hometask_Py I_30.05.2024"	"file"	73
"hooks"	"2_hometask_Py I_30.05.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"2_hometask_Py I_30.05.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"2_hometask_Py I_30.05.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"2_hometask_Py I_30.05.2024"	"file"	21
"config"	"2_hometask_Py I_30.05.2024"	"file"	322
"objects"	"2_hometask_Py I_30.05.2024"	"dir"	1559
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"aa"	".git"	"dir"	500
"5b7a12960157b524c353f15123622edeadbab0"	"objects"	"file"	500
"b0"	".git"	"dir"	843
"5aea8acea61df14a8359f7e6715dde19cb6f32"	"objects"	"file"	843
"71"	".git"	"dir"	80
"244b3799d971d6636a861ca51f42243cac590f"	"objects"	"file"	80
"bd"	".git"	"dir"	136
"74a989c09b854c9a4c77e8e35b1b72bb00b15a"	"objects"	"file"	136
"index"	"2_hometask_Py I_30.05.2024"	"file"	209
"COMMIT_EDITMSG"	"2_hometask_Py I_30.05.2024"	"file"	11
"logs"	"2_hometask_Py I_30.05.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 3. Погружение в Python. Коллекции.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	3193687
"Лекция 3. Погружение в Python. Коллекции.docx.pdf"	"Погружение в Python. Часть 1"	"file"	571406
"seminar 3_1.py"	"Погружение в Python. Часть 1"	"file"	588
"seminar 3_2.py"	"Погружение в Python. Часть 1"	"file"	877
"seminar 3_3.py"	"Погружение в Python. Часть 1"	"file"	416
"seminar 3_4.py"	"Погружение в Python. Часть 1"	"file"	739
"seminar 3_5.py"	"Погружение в Python. Часть 1"	"file"	717
"seminar 3_6.py"	"Погружение в Python. Часть 1"	"file"	626
"seminar 3_7.py"	"Погружение в Python. Часть 1"	"file"	648
"seminar 3_8.py"	"Погружение в Python. Часть 1"	"file"	1942
"3_hometask_Py I_02.06.2024"	"Погружение в Python. Часть 1"	"dir"	32663
"task_1.py"	"Погружение в Python. Часть 1"	"file"	399
"task_2.py"	"Погружение в Python. Часть 1"	"file"	864
"task_3.py"	"Погружение в Python. Часть 1"	"file"	1694
".git"	"Погружение в Python. Часть 1"	"dir"	29706
"description"	"3_hometask_Py I_02.06.2024"	"file"	73
"hooks"	"3_hometask_Py I_02.06.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"3_hometask_Py I_02.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"3_hometask_Py I_02.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"3_hometask_Py I_02.06.2024"	"file"	21
"config"	"3_hometask_Py I_02.06.2024"	"file"	322
"objects"	"3_hometask_Py I_02.06.2024"	"dir"	1765
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"5a"	".git"	"dir"	270
"8a1cf0a3af357ac8e11c1efe816cc1c3f3a1fa"	"objects"	"file"	270
"23"	".git"	"dir"	511
"17df8939cfdd6d532ba5f0184703b8382e590e"	"objects"	"file"	511
"27"	".git"	"dir"	743
"eb69001057be509c3a7569a89884629420afb2"	"objects"	"file"	743
"95"	".git"	"dir"	107
"453fb597fe92ca2ead71b4dee4a8a66ec25ba9"	"objects"	"file"	107
"4d"	".git"	"dir"	134
"aa6bd5a18443dfff24954635df122950ad1101"	"objects"	"file"	134
"index"	"3_hometask_Py I_02.06.2024"	"file"	281
"COMMIT_EDITMSG"	"3_hometask_Py I_02.06.2024"	"file"	11
"logs"	"3_hometask_Py I_02.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 4. Погружение в Python. Функции.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2636604
"Лекция 4. Погружение в Python. Функции.docx.pdf"	"Погружение в Python. Часть 1"	"file"	532241
"seminar 4_1.py"	"Погружение в Python. Часть 1"	"file"	525
"seminar 4_2.py"	"Погружение в Python. Часть 1"	"file"	457
"seminar 4_3.py"	"Погружение в Python. Часть 1"	"file"	483
"seminar 4_4.py"	"Погружение в Python. Часть 1"	"file"	575
"seminar 4_5.py"	"Погружение в Python. Часть 1"	"file"	647
"seminar 4_6.py"	"Погружение в Python. Часть 1"	"file"	588
"seminar 4_7.py"	"Погружение в Python. Часть 1"	"file"	1006
"seminar 4_8.py"	"Погружение в Python. Часть 1"	"file"	755
"4_hometask_Py I_05.06.2024"	"Погружение в Python. Часть 1"	"dir"	34784
"task_1.py"	"Погружение в Python. Часть 1"	"file"	357
"task_2.py"	"Погружение в Python. Часть 1"	"file"	761
"task_3.py"	"Погружение в Python. Часть 1"	"file"	3469
".git"	"Погружение в Python. Часть 1"	"dir"	30197
"description"	"4_hometask_Py I_05.06.2024"	"file"	73
"hooks"	"4_hometask_Py I_05.06.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"4_hometask_Py I_05.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"4_hometask_Py I_05.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"4_hometask_Py I_05.06.2024"	"file"	21
"config"	"4_hometask_Py I_05.06.2024"	"file"	322
"objects"	"4_hometask_Py I_05.06.2024"	"dir"	2256
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"cb"	".git"	"dir"	245
"b0706dea88d420531f1fa5ed4e13a04f4fc60a"	"objects"	"file"	245
"74"	".git"	"dir"	470
"7413411258edbdbe6cb754109ba2c6dce80ef3"	"objects"	"file"	470
"80"	".git"	"dir"	1298
"4c6f5abb13d897afd65eadc0a7b348812603f6"	"objects"	"file"	1298
"d0"	".git"	"dir"	107
"f61984910ecc42bbc738dd0bb3363387aed29c"	"objects"	"file"	107
"3e"	".git"	"dir"	136
"17dde1e4ef68de791adb09a9fca8580afe64ef"	"objects"	"file"	136
"index"	"4_hometask_Py I_05.06.2024"	"file"	281
"COMMIT_EDITMSG"	"4_hometask_Py I_05.06.2024"	"file"	11
"logs"	"4_hometask_Py I_05.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 5. Погружение в Python. Итераторы и генераторы.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2429133
